year,catch,code,name
1950,18000,KEN,Kenya
1951,18000,KEN,Kenya
1952,18000,KEN,Kenya
1953,18700,KEN,Kenya
1954,17600,KEN,Kenya
1955,30100,KEN,Kenya
1956,32600,KEN,Kenya
1957,25500,KEN,Kenya
1958,22000,KEN,Kenya
1959,22600,KEN,Kenya
1960,12600,KEN,Kenya
1961,13500,KEN,Kenya
1962,18400,KEN,Kenya
1963,20100,KEN,Kenya
1964,20700,KEN,Kenya
1965,23400,KEN,Kenya
1966,27900,KEN,Kenya
1967,27300,KEN,Kenya
1968,28200,KEN,Kenya
1969,32000,KEN,Kenya
1970,33700,KEN,Kenya
1971,28300,KEN,Kenya
1972,30000,KEN,Kenya
1973,29000,KEN,Kenya
1974,28581,KEN,Kenya
1975,27373,KEN,Kenya
1976,41164,KEN,Kenya
1977,43009,KEN,Kenya
1978,46425,KEN,Kenya
1979,51735,KEN,Kenya
1980,47875,KEN,Kenya
1981,57900,KEN,Kenya
1982,81718,KEN,Kenya
1983,98357,KEN,Kenya
1984,91127,KEN,Kenya
1985,106251,KEN,Kenya
1986,120244,KEN,Kenya
1987,131692,KEN,Kenya
1988,138391,KEN,Kenya
1989,146193,KEN,Kenya
1990,201542,KEN,Kenya
1991,198479,KEN,Kenya
1992,162967,KEN,Kenya
1993,182909,KEN,Kenya
1994,203362,KEN,Kenya
1995,193282.74,KEN,Kenya
1996,181463.35,KEN,Kenya
1997,161588.66,KEN,Kenya
1998,173154.58,KEN,Kenya
1999,205927.39,KEN,Kenya
2000,215798.91,KEN,Kenya
2001,164760.32,KEN,Kenya
2002,145164.33,KEN,Kenya
2003,120532,KEN,Kenya
2004,127297.07,KEN,Kenya
2005,147920,KEN,Kenya
2006,159266,KEN,Kenya
2007,132282,KEN,Kenya
2008,136109,KEN,Kenya
2009,134157,KEN,Kenya
2010,140607,KEN,Kenya
2011,181450,KEN,Kenya
2012,158805,KEN,Kenya
2013,163207,KEN,Kenya
2014,169161,KEN,Kenya
2015,165367,KEN,Kenya
2016,142133,KEN,Kenya
2017,121836,KEN,Kenya
2018,123000,KEN,Kenya
1950,32600,TZA,Tanzania
1951,32600,TZA,Tanzania
1952,35600,TZA,Tanzania
1953,60000,TZA,Tanzania
1954,59900,TZA,Tanzania
1955,62500,TZA,Tanzania
1956,65100,TZA,Tanzania
1957,65600,TZA,Tanzania
1958,65600,TZA,Tanzania
1959,70500,TZA,Tanzania
1960,70800,TZA,Tanzania
1961,73100,TZA,Tanzania
1962,73300,TZA,Tanzania
1963,79000,TZA,Tanzania
1964,103000,TZA,Tanzania
1965,104700,TZA,Tanzania
1966,104200,TZA,Tanzania
1967,131000,TZA,Tanzania
1968,155600,TZA,Tanzania
1969,154200,TZA,Tanzania
1970,191220,TZA,Tanzania
1971,183601,TZA,Tanzania
1972,158026,TZA,Tanzania
1973,164192,TZA,Tanzania
1974,174826,TZA,Tanzania
1975,212076,TZA,Tanzania
1976,233744,TZA,Tanzania
1977,272541,TZA,Tanzania
1978,213484,TZA,Tanzania
1979,182832,TZA,Tanzania
1980,231192,TZA,Tanzania
1981,233897,TZA,Tanzania
1982,230873,TZA,Tanzania
1983,242766,TZA,Tanzania
1984,280894,TZA,Tanzania
1985,304766,TZA,Tanzania
1986,313968,TZA,Tanzania
1987,346463,TZA,Tanzania
1988,397528.31,TZA,Tanzania
1989,380683.03,TZA,Tanzania
1990,417018.2,TZA,Tanzania
1991,329379.75,TZA,Tanzania
1992,333783.31,TZA,Tanzania
1993,335050.36,TZA,Tanzania
1994,292021.08,TZA,Tanzania
1995,363355,TZA,Tanzania
1996,327516.2,TZA,Tanzania
1997,360753.17,TZA,Tanzania
1998,352154.89,TZA,Tanzania
1999,314750.01,TZA,Tanzania
2000,327264,TZA,Tanzania
2001,341987.74,TZA,Tanzania
2002,329057,TZA,Tanzania
2003,354689.75,TZA,Tanzania
2004,364244.68,TZA,Tanzania
2005,375842,TZA,Tanzania
2006,336364,TZA,Tanzania
2007,426666,TZA,Tanzania
2008,326286,TZA,Tanzania
2009,334954,TZA,Tanzania
2010,351391,TZA,Tanzania
2011,348908,TZA,Tanzania
2012,379425,TZA,Tanzania
2013,380260,TZA,Tanzania
2014,342012,TZA,Tanzania
2015,375450.24,TZA,Tanzania
2016,371153,TZA,Tanzania
2017,389026,TZA,Tanzania
2018,375755,TZA,Tanzania
1950,0,EAZ,Zanzibar
1951,0,EAZ,Zanzibar
1952,0,EAZ,Zanzibar
1953,0,EAZ,Zanzibar
1954,0,EAZ,Zanzibar
1955,0,EAZ,Zanzibar
1956,0,EAZ,Zanzibar
1957,0,EAZ,Zanzibar
1958,0,EAZ,Zanzibar
1959,0,EAZ,Zanzibar
1960,0,EAZ,Zanzibar
1961,0,EAZ,Zanzibar
1962,0,EAZ,Zanzibar
1963,0,EAZ,Zanzibar
1964,0,EAZ,Zanzibar
1965,0,EAZ,Zanzibar
1966,0,EAZ,Zanzibar
1967,0,EAZ,Zanzibar
1968,0,EAZ,Zanzibar
1969,0,EAZ,Zanzibar
1970,0,EAZ,Zanzibar
1971,0,EAZ,Zanzibar
1972,0,EAZ,Zanzibar
1973,0,EAZ,Zanzibar
1974,0,EAZ,Zanzibar
1975,0,EAZ,Zanzibar
1976,0,EAZ,Zanzibar
1977,0,EAZ,Zanzibar
1978,0,EAZ,Zanzibar
1979,0,EAZ,Zanzibar
1980,0,EAZ,Zanzibar
1981,0,EAZ,Zanzibar
1982,0,EAZ,Zanzibar
1983,0,EAZ,Zanzibar
1984,0,EAZ,Zanzibar
1985,0,EAZ,Zanzibar
1986,0,EAZ,Zanzibar
1987,0,EAZ,Zanzibar
1988,0,EAZ,Zanzibar
1989,0,EAZ,Zanzibar
1990,0,EAZ,Zanzibar
1991,0,EAZ,Zanzibar
1992,0,EAZ,Zanzibar
1993,0,EAZ,Zanzibar
1994,0,EAZ,Zanzibar
1995,0,EAZ,Zanzibar
1996,0,EAZ,Zanzibar
1997,0,EAZ,Zanzibar
1998,0,EAZ,Zanzibar
1999,0,EAZ,Zanzibar
2000,17922,EAZ,Zanzibar
2001,20541,EAZ,Zanzibar
2002,20341,EAZ,Zanzibar
2003,20859,EAZ,Zanzibar
2004,23488,EAZ,Zanzibar
2005,23210,EAZ,Zanzibar
2006,24418,EAZ,Zanzibar
2007,23580,EAZ,Zanzibar
2008,24514,EAZ,Zanzibar
2009,25394,EAZ,Zanzibar
2010,25690,EAZ,Zanzibar
2011,28757,EAZ,Zanzibar
2012,29810,EAZ,Zanzibar
2013,30712,EAZ,Zanzibar
2014,32872,EAZ,Zanzibar
2015,34103,EAZ,Zanzibar
2016,33893,EAZ,Zanzibar
2017,35057,EAZ,Zanzibar
2018,35440,EAZ,Zanzibar
1950,1000,SYC,Seychelles
1951,1000,SYC,Seychelles
1952,1000,SYC,Seychelles
1953,1500,SYC,Seychelles
1954,1500,SYC,Seychelles
1955,1500,SYC,Seychelles
1956,1500,SYC,Seychelles
1957,1800,SYC,Seychelles
1958,1800,SYC,Seychelles
1959,1800,SYC,Seychelles
1960,1800,SYC,Seychelles
1961,2000,SYC,Seychelles
1962,2000,SYC,Seychelles
1963,2000,SYC,Seychelles
1964,2000,SYC,Seychelles
1965,2000,SYC,Seychelles
1966,2500,SYC,Seychelles
1967,2500,SYC,Seychelles
1968,2500,SYC,Seychelles
1969,2500,SYC,Seychelles
1970,3000,SYC,Seychelles
1971,3000,SYC,Seychelles
1972,3000,SYC,Seychelles
1973,3000,SYC,Seychelles
1974,3500,SYC,Seychelles
1975,3950,SYC,Seychelles
1976,4010,SYC,Seychelles
1977,4600,SYC,Seychelles
1978,5400,SYC,Seychelles
1979,4957,SYC,Seychelles
1980,4676,SYC,Seychelles
1981,5221,SYC,Seychelles
1982,4045,SYC,Seychelles
1983,3938,SYC,Seychelles
1984,3734,SYC,Seychelles
1985,4118,SYC,Seychelles
1986,4542,SYC,Seychelles
1987,3900,SYC,Seychelles
1988,4343,SYC,Seychelles
1989,4412,SYC,Seychelles
1990,5437,SYC,Seychelles
1991,8150,SYC,Seychelles
1992,6663,SYC,Seychelles
1993,5178,SYC,Seychelles
1994,4469,SYC,Seychelles
1995,4008,SYC,Seychelles
1996,4707,SYC,Seychelles
1997,14043,SYC,Seychelles
1998,23886,SYC,Seychelles
1999,34223,SYC,Seychelles
2000,32778,SYC,Seychelles
2001,53591,SYC,Seychelles
2002,63383,SYC,Seychelles
2003,86020,SYC,Seychelles
2004,100671,SYC,Seychelles
2005,108680,SYC,Seychelles
2006,92739,SYC,Seychelles
2007,65514,SYC,Seychelles
2008,69199,SYC,Seychelles
2009,81114,SYC,Seychelles
2010,87111,SYC,Seychelles
2011,75481,SYC,Seychelles
2012,68687,SYC,Seychelles
2013,74127,SYC,Seychelles
2014,75116,SYC,Seychelles
2015,104984,SYC,Seychelles
2016,127128,SYC,Seychelles
2017,142765,SYC,Seychelles
2018,145614,SYC,Seychelles
1950,324700,ZAF,South Africa
1951,478200,ZAF,South Africa
1952,656800,ZAF,South Africa
1953,654600,ZAF,South Africa
1954,639600,ZAF,South Africa
1955,618800,ZAF,South Africa
1956,548800,ZAF,South Africa
1957,598700,ZAF,South Africa
1958,674700,ZAF,South Africa
1959,753500,ZAF,South Africa
1960,879000,ZAF,South Africa
1961,1036600,ZAF,South Africa
1962,1088300,ZAF,South Africa
1963,1195114,ZAF,South Africa
1964,1253206,ZAF,South Africa
1965,1351309,ZAF,South Africa
1966,1369292,ZAF,South Africa
1967,1701900,ZAF,South Africa
1968,2132600,ZAF,South Africa
1969,1887100,ZAF,South Africa
1970,1277950,ZAF,South Africa
1971,1214550,ZAF,South Africa
1972,1188004,ZAF,South Africa
1973,1423825,ZAF,South Africa
1974,1477287,ZAF,South Africa
1975,1413944,ZAF,South Africa
1976,1210300,ZAF,South Africa
1977,1020500,ZAF,South Africa
1978,1039469,ZAF,South Africa
1979,1011195,ZAF,South Africa
1980,866037,ZAF,South Africa
1981,879395,ZAF,South Africa
1982,838116,ZAF,South Africa
1983,948726,ZAF,South Africa
1984,757915,ZAF,South Africa
1985,798408,ZAF,South Africa
1986,842825,ZAF,South Africa
1987,1446125,ZAF,South Africa
1988,1322958,ZAF,South Africa
1989,887827,ZAF,South Africa
1990,545584,ZAF,South Africa
1991,507296,ZAF,South Africa
1992,701638,ZAF,South Africa
1993,570375,ZAF,South Africa
1994,527902,ZAF,South Africa
1995,582449,ZAF,South Africa
1996,450180,ZAF,South Africa
1997,526064,ZAF,South Africa
1998,574378,ZAF,South Africa
1999,605457,ZAF,South Africa
2000,664267,ZAF,South Africa
2001,782717,ZAF,South Africa
2002,793664,ZAF,South Africa
2003,840624,ZAF,South Africa
2004,911731,ZAF,South Africa
2005,825109,ZAF,South Africa
2006,629034,ZAF,South Africa
2007,690857,ZAF,South Africa
2008,655915,ZAF,South Africa
2009,523352,ZAF,South Africa
2010,640656,ZAF,South Africa
2011,544924,ZAF,South Africa
2012,719236,ZAF,South Africa
2013,430846,ZAF,South Africa
2014,609251,ZAF,South Africa
2015,572312,ZAF,South Africa
2016,622070,ZAF,South Africa
2017,529910,ZAF,South Africa
2018,570545,ZAF,South Africa
1950,8300,MOZ,Mozambique
1951,8700,MOZ,Mozambique
1952,8500,MOZ,Mozambique
1953,8300,MOZ,Mozambique
1954,8200,MOZ,Mozambique
1955,10300,MOZ,Mozambique
1956,10300,MOZ,Mozambique
1957,12500,MOZ,Mozambique
1958,13100,MOZ,Mozambique
1959,13700,MOZ,Mozambique
1960,13400,MOZ,Mozambique
1961,12800,MOZ,Mozambique
1962,12800,MOZ,Mozambique
1963,13500,MOZ,Mozambique
1964,13900,MOZ,Mozambique
1965,16200,MOZ,Mozambique
1966,17300,MOZ,Mozambique
1967,17000,MOZ,Mozambique
1968,17700,MOZ,Mozambique
1969,19000,MOZ,Mozambique
1970,20100,MOZ,Mozambique
1971,22900,MOZ,Mozambique
1972,22900,MOZ,Mozambique
1973,26300,MOZ,Mozambique
1974,28660,MOZ,Mozambique
1975,25490,MOZ,Mozambique
1976,27900,MOZ,Mozambique
1977,26950,MOZ,Mozambique
1978,25940,MOZ,Mozambique
1979,28630,MOZ,Mozambique
1980,33850,MOZ,Mozambique
1981,40630,MOZ,Mozambique
1982,38180,MOZ,Mozambique
1983,40940,MOZ,Mozambique
1984,34947,MOZ,Mozambique
1985,36326,MOZ,Mozambique
